match,competition,date,position,minutes_played,total_actions,total_actions_successful,total_actions_percent,goals,assists,shots,shots_on_target,shots_percent,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Real Madrid - Celta de Vigo 2:0,Spain. LaLiga,4/22/23,"LB, LCMF3",98,121,85,70,0,0,0,0,0,0,78,72,92,1,1,100,2,1,50,6,3,50,27,10,37,0,0,0,8,8,1,13,11,4,36
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,LB,95,80,53,66,0,0,0,0,0,0,40,34,85,3,2,67,0,0,0,5,3,60,27,15,56,2,1,50,6,13,7,54,11,1,9
Cádiz - Real Madrid 0:2,Spain. LaLiga,4/15/23,LB,28,34,27,79,0,0,0,0,0,0,22,20,91,0,0,0,0,0,0,3,2,67,9,5,56,0,0,0,0,2,1,50,3,2,67
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,LB,71,83,64,77,0,0,1,0,0,0.11,55,50,91,2,1,50,3,1,33,1,0,0,18,11,61,2,1,50,3,8,2,25,9,3,33
Real Madrid - Villarreal 2:3,Spain. LaLiga,4/8/23,LDMF,23,19,12,63,0,0,0,0,0,0,11,10,91,0,0,0,0,0,0,1,0,0,8,2,25,0,0,0,0,2,0,0,1,1,100
Real Madrid - Real Valladolid 6:0,Spain. LaLiga,4/2/23,LB,93,83,63,76,0,0,0,0,0,0,53,48,91,0,0,0,0,0,0,3,2,67,23,14,61,4,3,75,4,8,4,50,13,5,38
Barcelona - Real Madrid 2:1,Spain. LaLiga,3/19/23,"LDMF, RDMF",77,46,37,80,0,0,0,0,0,0,32,31,97,6,6,100,0,0,0,2,2,100,9,6,67,0,0,0,3,4,2,50,5,1,20
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,"DMF, LCMF3",96,82,62,76,0,0,1,0,0,0.03,60,53,88,5,4,80,0,0,0,2,2,100,11,7,64,2,1,50,3,8,7,88,4,2,50
Real Madrid - Espanyol 3:1,Spain. LaLiga,3/11/23,"DMF, LB",95,69,53,77,0,0,1,1,100,0.11,47,45,96,0,0,0,0,0,0,2,2,100,16,5,31,5,2,40,2,7,1,14,8,3,38
Real Betis - Real Madrid 0:0,Spain. LaLiga,3/5/23,LB,64,73,49,67,0,0,0,0,0,0,41,39,95,3,1,33,0,0,0,1,1,100,23,8,35,2,0,0,3,4,1,25,7,0,0
Real Madrid - Atlético Madrid 1:1,Spain. LaLiga,2/25/23,"LB, LDMF",32,35,25,71,0,0,2,1,50,0.11,22,20,91,1,0,0,0,0,0,8,1,13,10,3,30,0,0,0,0,2,0,0,3,2,67
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,DMF,96,86,57,66,0,0,0,0,0,0,53,47,89,2,1,50,0,0,0,1,1,100,22,10,45,0,0,0,6,8,5,63,6,0,0
Osasuna - Real Madrid 0:2,Spain. LaLiga,2/18/23,"DMF, LDMF",99,64,49,77,0,0,0,0,0,0,37,34,92,1,0,0,0,0,0,1,1,100,18,12,67,1,0,0,4,5,3,60,8,3,38
Real Madrid - Elche 4:0,Spain. LaLiga,2/15/23,"DMF, LCMF3",94,124,102,82,0,1,1,0,0,0.02,83,82,99,7,7,100,0,0,0,1,1,100,37,19,51,9,7,78,2,8,1,13,9,3,33
Mallorca - Real Madrid 1:0,Spain. LaLiga,2/5/23,"DMF, LB",100,88,68,77,0,0,2,0,0,0.01,55,51,93,1,0,0,2,0,0,3,1,33,24,15,63,2,1,50,6,10,7,70,16,7,44
Real Madrid - Valencia 2:0,Spain. LaLiga,2/2/23,LB,100,101,78,77,0,0,1,0,0,0.08,66,59,89,1,1,100,1,0,0,4,3,75,27,16,59,4,3,75,5,8,0,0,13,7,54
Real Madrid - Real Sociedad 0:0,Spain. LaLiga,1/29/23,LB,98,97,71,73,0,0,0,0,0,0,62,54,87,4,2,50,2,0,0,5,5,100,27,13,48,1,0,0,2,5,0,0,7,3,43
Athletic Bilbao - Real Madrid 0:2,Spain. LaLiga,1/22/23,DMF,95,79,44,56,0,0,0,0,0,0,36,31,86,6,4,67,0,0,0,2,2,100,21,8,38,2,1,50,15,11,6,55,12,1,8
Villarreal - Real Madrid 2:1,Spain. LaLiga,1/7/23,RDMF,29,33,22,67,0,0,0,0,0,0,13,10,77,0,0,0,0,0,0,3,1,33,14,9,64,1,1,100,1,3,1,33,6,0,0
Real Valladolid - Real Madrid 0:2,Spain. LaLiga,12/30/22,LCMF3,30,37,30,81,0,1,1,1,100,0.09,24,22,92,0,0,0,1,0,0,2,1,50,7,4,57,1,1,100,0,3,1,33,2,1,50
Real Madrid - Cádiz 2:1,Spain. LaLiga,11/10/22,LCMF3,10,10,5,50,0,0,0,0,0,0,4,3,75,0,0,0,0,0,0,1,0,0,4,2,50,1,1,100,1,3,2,67,1,1,100
Rayo Vallecano - Real Madrid 3:2,Spain. LaLiga,11/7/22,"DMF, LDMF",31,34,29,85,0,0,1,0,0,0.02,20,19,95,1,1,100,0,0,0,2,2,100,9,9,100,2,2,100,2,5,4,80,4,1,25
