match,competition,date,position,minutes_played,total_actions,total_actions_sucessful,total_actions_percent,goals,assists,shots,shots_on_target,shots_percent,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Cádiz - Real Madrid 0:2,Spain. LaLiga,4/15/23,DMF,95,107,81,76,0,1,5,1,20,0.29,68,65,96,1,1,100,1,1,100,1,1,100,27,13,48,10,3,30,7,9,5,56,13,3,23
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,DMF,11,13,10,77,0,0,0,0,0,0,10,10,100,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,100,2,1,50
Real Madrid - Villarreal 2:3,Spain. LaLiga,4/8/23,DMF,74,60,46,77,0,0,2,0,0,0.2,37,35,95,2,2,100,0,0,0,2,2,100,15,9,60,2,2,100,6,3,2,67,10,2,20
Real Madrid - Real Valladolid 6:0,Spain. LaLiga,4/2/23,RDMF,93,81,66,81,0,0,2,0,0,0.09,54,50,93,3,2,67,1,0,0,3,3,100,17,14,82,3,2,67,3,8,6,75,10,2,20
Barcelona - Real Madrid 2:1,Spain. LaLiga,3/19/23,RDMF,21,22,18,82,0,0,1,0,0,0.14,14,14,100,0,0,0,0,0,0,1,1,100,6,4,67,0,0,0,1,0,0,0,4,2,50
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,DMF,11,7,5,71,0,0,0,0,0,0,4,4,100,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,1,0,0
Real Madrid - Espanyol 3:1,Spain. LaLiga,3/11/23,DMF,74,84,67,80,0,1,1,0,0,0,60,58,97,2,1,50,1,1,100,1,1,100,17,7,41,3,1,33,4,2,1,50,7,4,57
Real Betis - Real Madrid 0:0,Spain. LaLiga,3/5/23,RCMF,64,77,60,78,0,0,1,0,0,0.01,58,55,95,2,0,0,0,0,0,0,0,0,14,5,36,4,2,50,3,6,2,33,8,4,50
Real Madrid - Atlético Madrid 1:1,Spain. LaLiga,2/25/23,"RCMF, RDMF",32,30,26,87,0,0,2,2,100,0.03,21,20,95,0,0,0,0,0,0,1,1,100,6,4,67,4,3,75,1,3,1,33,3,0,0
Real Madrid - Elche 4:0,Spain. LaLiga,2/15/23,DMF,24,41,34,83,0,0,0,0,0,0,34,32,94,2,1,50,0,0,0,1,0,0,4,0,0,1,0,0,3,2,0,0,1,0,0
Mallorca - Real Madrid 1:0,Spain. LaLiga,2/5/23,DMF,71,99,88,89,0,0,1,0,0,0,72,70,97,1,1,100,0,0,0,2,1,50,21,16,76,6,5,83,4,8,6,75,12,2,17
Real Madrid - Valencia 2:0,Spain. LaLiga,2/2/23,DMF,27,38,32,84,0,0,2,0,0,0.05,31,30,97,2,1,50,0,0,0,0,0,0,3,2,67,0,0,0,1,3,1,33,1,0,0
Villarreal - Real Madrid 2:1,Spain. LaLiga,1/7/23,DMF,64,55,42,76,0,0,0,0,0,0,44,39,89,2,1,50,0,0,0,0,0,0,6,2,33,0,0,0,5,6,4,67,3,0,0
Real Valladolid - Real Madrid 0:2,Spain. LaLiga,12/30/22,RCMF3,11,8,5,63,0,0,0,0,0,0,4,4,100,0,0,0,0,0,0,0,0,0,4,1,25,0,0,0,0,1,1,100,0,0,0
Real Madrid - Cádiz 2:1,Spain. LaLiga,11/10/22,DMF,96,101,83,82,0,0,2,0,0,0.02,74,73,99,0,0,0,1,1,100,0,0,0,17,9,53,4,2,50,4,5,2,40,7,2,29
Rayo Vallecano - Real Madrid 3:2,Spain. LaLiga,11/7/22,DMF,72,63,49,78,0,0,0,0,0,0,39,35,90,0,0,0,0,0,0,0,0,0,17,11,65,3,2,67,4,8,7,88,9,1,11
RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,10/25/22,"DMF, RDMF",94,98,81,83,0,0,2,0,0,0.42,68,67,99,2,2,100,0,0,0,1,0,0,25,13,52,3,2,67,3,6,4,67,13,5,38
Real Madrid - Sevilla 3:1,Spain. LaLiga,10/22/22,LCMF3,65,67,57,85,0,0,0,0,0,0,49,47,96,0,0,0,0,0,0,4,2,50,14,7,50,0,0,0,1,3,2,67,4,1,25
Elche - Real Madrid 0:3,Spain. LaLiga,10/19/22,DMF,32,45,42,93,0,0,0,0,0,0,35,35,100,0,0,0,0,0,0,2,2,100,9,7,78,0,0,0,0,0,0,0,2,0,0
Real Madrid - Barcelona 3:1,Spain. LaLiga,10/16/22,DMF,95,67,51,76,0,0,0,0,0,0,47,44,94,0,0,0,1,0,0,0,0,0,12,6,50,3,1,33,7,7,4,57,9,2,22
Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,10/11/22,RDMF,57,69,55,80,0,0,1,0,0,0.18,51,47,92,2,1,50,0,0,0,0,0,0,14,8,57,3,2,67,2,7,3,43,3,3,100
Getafe - Real Madrid 0:1,Spain. LaLiga,10/8/22,DMF,96,110,87,79,0,0,3,1,33,0.33,79,74,94,3,3,100,1,0,0,0,0,0,18,10,56,6,2,33,8,8,2,25,15,6,40
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,10/5/22,DMF,76,77,69,90,0,0,2,1,50,0.1,61,59,97,2,2,100,0,0,0,0,0,0,9,7,78,3,3,100,2,3,1,33,5,4,80
Real Madrid - Osasuna 1:1,Spain. LaLiga,10/2/22,DMF,55,63,51,81,0,0,3,0,0,0.23,50,46,92,5,3,60,0,0,0,2,2,100,8,4,50,4,1,25,2,7,1,14,3,0,0
Atlético Madrid - Real Madrid 1:2,Spain. LaLiga,9/18/22,DMF,97,70,50,71,0,1,0,0,0,0,48,41,85,5,2,40,1,0,0,0,0,0,16,8,50,4,2,50,9,9,7,78,11,1,9
Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,DMF,94,79,61,77,0,0,0,0,0,0,58,52,90,6,5,83,0,0,0,2,1,50,13,7,54,2,0,0,7,10,6,60,12,5,42
Celtic - Real Madrid 0:3,Europe. UEFA Champions League,9/6/22,DMF,71,89,71,80,0,0,1,0,0,0,72,64,89,2,2,100,0,0,0,1,1,100,11,7,64,1,0,0,7,6,1,17,10,3,30
Real Madrid - Real Betis 2:1,Spain. LaLiga,9/3/22,DMF,100,97,79,81,0,0,2,1,50,0.05,61,56,92,3,3,100,1,0,0,2,1,50,26,21,81,7,7,100,7,9,6,67,15,5,33
Espanyol - Real Madrid 1:3,Spain. LaLiga,8/28/22,DMF,102,96,76,79,0,1,1,0,0,0.14,67,65,97,4,2,50,0,0,0,0,0,0,18,10,56,7,6,86,5,6,4,67,12,5,42
Celta de Vigo - Real Madrid 1:4,Spain. LaLiga,8/20/22,DMF,96,98,77,79,0,0,1,0,0,0,71,64,90,3,2,67,0,0,0,0,0,0,17,11,65,3,2,67,10,12,5,42,14,7,50
Almería - Real Madrid 1:2,Spain. LaLiga,8/14/22,DMF,62,62,49,79,0,0,1,0,0,0.06,47,44,94,2,1,50,0,0,0,2,0,0,11,4,36,1,0,0,1,3,0,0,5,4,80
Shakhtar Donetsk - Monaco 2:2 (E),Europe. UEFA Champions League,8/25/21,DMF,123,101,72,71,0,0,2,0,0,0.23,61,54,89,4,2,50,4,2,50,4,4,100,27,17,63,2,2,100,3,8,1,13,11,5,45
Monaco - Shakhtar Donetsk 0:1,Europe. UEFA Champions League,8/17/21,DMF,95,79,55,70,0,0,3,2,67,0.1,43,39,91,1,0,0,1,1,100,1,0,0,27,14,52,4,2,50,4,6,3,50,9,7,78
Monaco - Sparta Praha 3:1,Europe. UEFA Champions League,8/10/21,LCMF,61,75,53,71,0,0,2,0,0,0.18,38,36,95,1,0,0,0,0,0,3,2,67,22,16,73,2,1,50,4,5,1,20,9,3,33
Sparta Praha - Monaco 0:2,Europe. UEFA Champions League,8/3/21,LCMF,97,89,66,74,1,0,1,1,100,0.15,55,49,89,2,1,50,1,1,100,1,0,0,19,13,68,3,3,100,9,6,1,17,21,7,33
