match,competition,date,position,minutes_played,total_actions,total_actions_successful,total_actions_percent,goals,assists,shots,shots_on_target,shots_percent,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Borussia M'gladbach - Borussia Dortmund 1:0,Germany. Bundesliga,9/25/21,"RCMF, RCMF3",99,86,49,57,0,0,1,0,0,0.01,38,31,82,2,1,50,1,0,0,6,5,83,30,17,57,2,1,50,5,13,6,46,6,4,67
Borussia Dortmund - Union Berlin 4:2,Germany. Bundesliga,9/19/21,RCMF3,94,92,61,66,0,0,0,0,0,0,58,51,88,1,1,100,0,0,0,6,4,67,26,9,35,2,0,0,3,10,2,20,10,6,60
Beşiktaş - Borussia Dortmund 1:2,Europe. UEFA Champions League,9/15/21,"RAMF, RDMF",72,85,46,54,1,1,2,2,100,0.25,36,32,89,2,1,50,1,0,0,5,3,60,27,12,44,1,1,100,8,9,6,67,8,2,25
Bayer Leverkusen - Borussia Dortmund 3:4,Germany. Bundesliga,9/11/21,RCMF3,92,71,39,55,0,0,0,0,0,0,30,28,93,0,0,0,0,0,0,3,3,100,23,8,35,1,1,100,6,13,7,54,2,1,50
Borussia Dortmund - Hoffenheim 3:2,Germany. Bundesliga,8/27/21,RCMF3,74,78,48,62,1,1,1,1,100,0.05,40,34,85,0,0,0,1,0,0,6,5,83,22,13,59,1,1,100,6,8,2,25,3,2,67
Freiburg - Borussia Dortmund 2:1,Germany. Bundesliga,8/21/21,"LCMF3, RCMF3",97,86,55,64,0,0,4,2,50,0.48,43,40,93,1,0,0,1,0,0,7,4,57,33,13,39,3,1,33,2,8,5,63,6,3,50
Borussia Dortmund - Eintracht Frankfurt 5:2,Germany. Bundesliga,8/14/21,"LCMF3, RDMF",74,70,44,63,0,0,1,0,0,0.32,32,30,94,4,4,100,0,0,0,3,1,33,22,11,50,3,2,67,6,6,3,50,7,2,29
Borussia Dortmund - Bayer Leverkusen 3:1,Germany. Bundesliga,5/22/21,RDMF,48,45,29,64,0,0,2,0,0,0.11,31,27,87,2,1,50,0,0,0,2,1,50,6,2,33,0,0,0,1,3,0,0,3,2,67
Mainz 05 - Borussia Dortmund 1:3,Germany. Bundesliga,5/16/21,"LDMF, RDMF",87,78,51,65,0,0,2,0,0,0.18,54,47,87,4,3,75,0,0,0,2,0,0,14,4,29,2,1,50,3,12,2,17,6,6,100
Wolfsburg - Borussia Dortmund 0:2,Germany. Bundesliga,4/24/21,RDMF,60,44,28,64,0,0,0,0,0,0,25,21,84,1,1,100,0,0,0,0,0,0,14,7,50,0,0,0,2,6,4,67,8,3,38
Borussia Dortmund - Union Berlin 2:0,Germany. Bundesliga,4/21/21,"LCMF, RCMF",92,77,46,60,0,0,2,0,0,0.06,43,37,86,3,3,100,1,1,100,1,1,100,19,9,47,2,0,0,3,10,3,30,9,3,33
Borussia Dortmund - Werder Bremen 4:1,Germany. Bundesliga,4/18/21,"RCMF, RDMF",94,93,60,65,0,0,2,1,50,0.4,51,45,88,2,2,100,1,0,0,0,0,0,28,12,43,3,2,67,1,9,0,0,8,4,50
Borussia Dortmund - Manchester City 1:2,Europe. UEFA Champions League,4/14/21,RCMF,80,66,36,55,1,0,1,1,100,0.37,30,27,90,1,1,100,1,1,100,1,0,0,15,8,53,4,1,25,7,10,5,50,4,2,50
Stuttgart - Borussia Dortmund 2:3,Germany. Bundesliga,4/10/21,"AMF, RCMF",81,63,41,65,1,0,5,1,20,0.39,35,31,89,1,1,100,0,0,0,3,2,67,18,9,50,4,2,50,0,8,1,13,4,3,75
Manchester City - Borussia Dortmund 2:1,Europe. UEFA Champions League,4/6/21,RCMF,94,65,29,45,0,0,1,1,100,0.13,20,18,90,1,1,100,0,0,0,2,1,50,24,10,42,4,2,50,3,9,5,56,3,2,67
Borussia Dortmund - Eintracht Frankfurt 1:2,Germany. Bundesliga,4/3/21,RCMF,58,74,41,55,0,0,0,0,0,0,38,28,74,1,1,100,3,0,0,4,2,50,27,12,44,3,2,67,6,8,1,13,9,5,56
Köln - Borussia Dortmund 2:2,Germany. Bundesliga,3/20/21,"LCMF, RCMF",97,82,51,62,0,0,1,1,100,0.13,48,41,85,4,4,100,3,0,0,3,1,33,23,7,30,3,1,33,4,7,3,43,1,0,0
Borussia Dortmund - Hertha BSC 2:0,Germany. Bundesliga,3/13/21,"LCMF3, RCMF3, RDMF",95,99,73,74,0,0,3,1,33,0.19,62,55,89,1,1,100,0,0,0,6,2,33,27,13,48,3,1,33,3,13,3,23,5,3,60
Borussia Dortmund - Sevilla 2:2,Europe. UEFA Champions League,3/9/21,RCMF,99,98,38,39,0,0,1,0,0,0.18,22,18,82,1,0,0,0,0,0,9,3,33,39,17,44,9,3,33,6,17,9,53,11,5,45
Bayern München - Borussia Dortmund 4:2,Germany. Bundesliga,3/6/21,LCMF,24,17,6,35,0,0,0,0,0,0,4,4,100,0,0,0,0,0,0,0,0,0,5,2,40,0,0,0,1,1,1,100,0,0,0
Borussia Dortmund - Arminia Bielefeld 3:0,Germany. Bundesliga,2/27/21,"DMF, LCMF3, RCMF3",93,85,51,60,0,0,2,0,0,0.61,42,35,83,1,1,100,1,0,0,4,0,0,30,16,53,8,3,38,6,7,1,14,10,6,60
Schalke 04 - Borussia Dortmund 0:4,Germany. Bundesliga,2/20/21,AMF,30,33,22,67,0,1,0,0,0,0,18,17,94,2,1,50,1,1,100,1,1,100,11,5,45,2,0,0,0,1,1,100,2,2,100
Sevilla - Borussia Dortmund 2:3,Europe. UEFA Champions League,2/17/21,RCMF,96,62,31,50,0,0,1,1,100,0.04,31,24,77,1,0,0,0,0,0,0,0,0,9,5,56,1,0,0,3,7,2,29,2,0,0
Borussia Dortmund - Hoffenheim 2:2,Germany. Bundesliga,2/13/21,LDMF,72,72,40,56,0,0,1,0,0,0.03,28,22,79,2,1,50,1,0,0,4,1,25,34,17,50,5,2,40,3,14,6,43,7,2,29
Freiburg - Borussia Dortmund 2:1,Germany. Bundesliga,2/6/21,"AMF, RDMF",49,52,29,56,0,0,0,0,0,0,22,18,82,0,0,0,1,0,0,5,4,80,25,11,44,4,1,25,2,9,3,33,5,3,60
Borussia Dortmund - Augsburg 3:1,Germany. Bundesliga,1/30/21,LDMF,20,23,11,48,0,0,0,0,0,0,8,7,88,1,0,0,0,0,0,1,0,0,9,3,33,1,1,100,3,6,0,0,1,1,100
Borussia M'gladbach - Borussia Dortmund 4:2,Germany. Bundesliga,1/22/21,RDMF,83,67,41,61,0,0,1,0,0,0.18,37,27,73,2,1,50,2,0,0,2,2,100,19,14,74,4,4,100,5,11,6,55,8,3,38
Bayer Leverkusen - Borussia Dortmund 2:1,Germany. Bundesliga,1/19/21,RDMF,84,50,32,64,0,0,0,0,0,0,34,27,79,4,4,100,0,0,0,2,1,50,12,5,42,2,0,0,4,5,2,40,3,1,33
