match,competition,date,position,minutes_played,total_actions,total_actions_successful,total _actions_percent,goals,assists,shots,shots_on_target,shots_percents,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Real Valladolid - Real Madrid 0:2,Spain. LaLiga,12/30/22,LCMF3,70,72,51,71,0,0,0,0,0,0,45,39,87,3,3,100,1,0,0,3,1,33,16,11,69,0,0,0,3,7,2,29,5,2,40
Real Madrid - Cádiz 2:1,Spain. LaLiga,11/10/22,LCMF,12,21,9,43,0,0,1,0,0,0.03,10,8,80,1,0,0,0,0,0,1,1,100,5,1,20,0,0,0,1,2,1,50,3,2,67
Real Madrid - Celtic 5:1,Europe. UEFA Champions League,11/2/22,LCMF,24,30,25,83,0,0,0,0,0,0,23,23,100,1,1,100,0,0,0,1,1,100,4,2,50,0,0,0,1,2,0,0,2,1,50
Real Madrid - Osasuna 1:1,Spain. LaLiga,10/2/22,RCMF3,55,41,33,80,0,0,0,0,0,0,34,32,94,0,0,0,1,0,0,0,0,0,5,1,20,0,0,0,3,4,1,25,2,0,0
Atlético Madrid - Real Madrid 1:2,Spain. LaLiga,9/18/22,LCMF,9,12,7,58,0,0,0,0,0,0,4,4,100,0,0,0,0,0,0,1,0,0,7,3,43,0,0,0,1,1,1,100,1,0,0
Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,LW,9,7,6,86,0,0,0,0,0,0,4,4,100,1,1,100,0,0,0,1,1,100,2,2,100,0,0,0,0,1,0,0,0,0,0
Real Madrid - Mallorca 4:1,Spain. LaLiga,9/11/22,LCMF3,73,106,84,79,0,0,2,1,50,0.07,75,69,92,1,1,100,0,0,0,5,4,80,23,14,61,0,0,0,1,8,1,13,9,6,67
Real Madrid - Real Betis 2:1,Spain. LaLiga,9/3/22,RCMF3,16,25,15,60,0,0,0,0,0,0,13,13,100,0,0,0,0,0,0,0,0,0,5,2,40,0,0,0,3,0,0,0,5,4,80
Espanyol - Real Madrid 1:3,Spain. LaLiga,8/28/22,RCMF3,22,9,8,89,0,0,0,0,0,0,5,5,100,0,0,0,0,0,0,2,2,100,4,3,75,1,0,0,0,3,2,67,2,1,50
Celta de Vigo - Real Madrid 1:4,Spain. LaLiga,8/20/22,LCMF3,18,15,11,73,0,0,0,0,0,0,12,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0
Almería - Real Madrid 1:2,Spain. LaLiga,8/14/22,LCMF,13,14,12,86,0,0,0,0,0,0,12,11,92,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,2,0,0,0,2,1,50
Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,5/28/22,LCMF,7,6,2,33,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,50,0,0,0
Real Madrid - Real Betis 0:0,Spain. LaLiga,5/20/22,LDMF,26,32,21,66,0,0,1,0,0,0.07,20,18,90,0,0,0,0,0,0,1,0,0,6,3,50,0,0,0,2,5,1,20,3,0,0
Cádiz - Real Madrid 1:1,Spain. LaLiga,5/15/22,RCMF3,33,35,26,74,0,0,2,2,100,0.18,24,21,88,0,0,0,0,0,0,1,1,100,5,2,40,0,0,0,1,4,1,25,1,0,0
Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,5/4/22,"AMF, LW",21,16,6,38,0,0,0,0,0,0,4,3,75,0,0,0,0,0,0,0,0,0,7,3,43,1,0,0,0,2,2,100,0,0,0
Real Madrid - Espanyol 4:0,Spain. LaLiga,4/30/22,"LDMF, RDMF",98,114,92,81,0,0,0,0,0,0,81,76,94,3,1,33,2,1,50,4,4,100,25,15,60,0,0,0,2,5,1,20,6,4,67
Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,4/26/22,AMF,16,11,7,64,0,0,0,0,0,0,7,6,86,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,1,0,0,0,2,0,0
Osasuna - Real Madrid 1:3,Spain. LaLiga,4/20/22,LCMF3,71,99,71,72,0,0,6,2,33,0.5,67,63,94,1,1,100,1,1,100,4,0,0,17,5,29,1,1,100,2,8,3,38,10,5,50
Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,4/12/22,LW,8,7,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33,0,0,0,1,1,0,0,1,1,100
Real Madrid - Getafe 2:0,Spain. LaLiga,4/9/22,LCMF3,19,25,23,92,0,0,0,0,0,0,22,22,100,3,3,100,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,100,2,1,50
Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,4/6/22,RWF,10,7,3,43,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,3,1,33,1,0,0,1,2,0,0,1,0,0
Celta de Vigo - Real Madrid 1:2,Spain. LaLiga,4/2/22,LCMF,10,9,2,22,0,0,1,0,0,0.01,3,1,33,0,0,0,0,0,0,0,0,0,3,1,33,0,0,0,2,1,1,100,1,0,0
Real Madrid - Real Sociedad 4:1,Spain. LaLiga,3/5/22,RCMF3,13,16,13,81,0,0,0,0,0,0,13,12,92,1,0,0,0,0,0,0,0,0,3,1,33,0,0,0,0,2,1,50,2,1,50
Rayo Vallecano - Real Madrid 0:1,Spain. LaLiga,2/26/22,LCMF3,10,9,4,44,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,2,2,100,6,3,50,0,0,0,0,1,0,0,1,1,100
Real Madrid - Deportivo Alavés 3:0,Spain. LaLiga,2/19/22,LCMF3,13,14,12,86,0,0,0,0,0,0,11,10,91,1,1,100,0,0,0,2,2,100,2,2,100,0,0,0,1,2,0,0,0,0,0
Real Madrid - Granada 1:0,Spain. LaLiga,2/6/22,RCMF3,7,2,1,50,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,100,0,0,0
Real Madrid - Valencia 4:1,Spain. LaLiga,1/8/22,RCMF3,23,19,13,68,0,0,0,0,0,0,11,10,91,2,1,50,0,0,0,0,0,0,3,2,67,0,0,0,3,0,0,0,1,0,0
